id,title,depth,href
1,Introduction,1,https://dcl-prog.stanford.edu/data-structures.html
2,"Vectors, lists, and tibbles",1,https://dcl-prog.stanford.edu/data-structure-basics.html
2.1,Atomic vectors,2,https://dcl-prog.stanford.edu/data-structure-basics.html#atomic-vectors
2.1.1,Subsetting,3,https://dcl-prog.stanford.edu/data-structure-basics.html#subsetting
2.1.2,Augmented vectors,3,https://dcl-prog.stanford.edu/data-structure-basics.html#augmented-vectors
2.2,Lists,2,https://dcl-prog.stanford.edu/data-structure-basics.html#lists
2.3,Tibbles,2,https://dcl-prog.stanford.edu/data-structure-basics.html#tibbles
2.3.1,Dimensions,3,https://dcl-prog.stanford.edu/data-structure-basics.html#dimensions
2.3.2,Variables,3,https://dcl-prog.stanford.edu/data-structure-basics.html#variables
3,Introduction,1,https://dcl-prog.stanford.edu/functions.html
4,Vector functions,1,https://dcl-prog.stanford.edu/function-vector.html
4.1,Temperature recommendations,2,https://dcl-prog.stanford.edu/function-vector.html#temperature-recommendations
4.2,Vector functions and mutate(),2,https://dcl-prog.stanford.edu/function-vector.html#vector-functions-and-mutate
4.3,Vectorizing if-else statements,2,https://dcl-prog.stanford.edu/function-vector.html#vectorizing-if-else-statements
5,Anonymous functions,1,https://dcl-prog.stanford.edu/function-anonymous.html
6,Predicate functions,1,https://dcl-prog.stanford.edu/function-predicate.html
7,Introduction,1,https://dcl-prog.stanford.edu/iteration.html
8,Basic map functions,1,https://dcl-prog.stanford.edu/purrr-basics.html
8.1,Iteration as an assembly line,2,https://dcl-prog.stanford.edu/purrr-basics.html#iteration-as-an-assembly-line
8.2,The map functions,2,https://dcl-prog.stanford.edu/purrr-basics.html#the-map-functions
8.2.1,Extra arguments,3,https://dcl-prog.stanford.edu/purrr-basics.html#extra-arguments
8.2.2,Anonymous functions,3,https://dcl-prog.stanford.edu/purrr-basics.html#anonymous-functions-1
8.2.3,Tibbles,3,https://dcl-prog.stanford.edu/purrr-basics.html#tibbles-1
9,purrr inside mutate,1,https://dcl-prog.stanford.edu/purrr-mutate.html
10,Map with multiple inputs,1,https://dcl-prog.stanford.edu/purrr-parallel.html
10.1,map2(),2,https://dcl-prog.stanford.edu/purrr-parallel.html#map2
10.2,pmap(),2,https://dcl-prog.stanford.edu/purrr-parallel.html#pmap
10.2.1,Anonymous functions,3,https://dcl-prog.stanford.edu/purrr-parallel.html#anonymous-functions-2
10.2.2,Named functions,3,https://dcl-prog.stanford.edu/purrr-parallel.html#named-functions
11,Other purrr functions,1,https://dcl-prog.stanford.edu/purrr-extras.html
11.1,map functions that output tibbles,2,https://dcl-prog.stanford.edu/purrr-extras.html#map-functions-that-output-tibbles
11.1.1,_dfr,3,https://dcl-prog.stanford.edu/purrr-extras.html#dfr
11.1.2,_dfc,3,https://dcl-prog.stanford.edu/purrr-extras.html#dfc
11.2,Walk,2,https://dcl-prog.stanford.edu/purrr-extras.html#walk
11.3,Predicate functions,2,https://dcl-prog.stanford.edu/purrr-extras.html#predicate-functions-1
12,Introduction,1,https://dcl-prog.stanford.edu/tidy-eval-section.html
13,Summary,1,https://dcl-prog.stanford.edu/tidy-eval-summary.html
13.1,Passing full expressions with ...,2,https://dcl-prog.stanford.edu/tidy-eval-summary.html#passing-full-expressions-with-...
13.2,Named arguments,2,https://dcl-prog.stanford.edu/tidy-eval-summary.html#named-arguments
13.3,Named arguments and any number of additional arguments,2,https://dcl-prog.stanford.edu/tidy-eval-summary.html#named-arguments-and-any-number-of-additional-arguments
13.4,Assigning names,2,https://dcl-prog.stanford.edu/tidy-eval-summary.html#assigning-names
13.5,Recoding,2,https://dcl-prog.stanford.edu/tidy-eval-summary.html#recoding
14,Tidy evaluation,1,https://dcl-prog.stanford.edu/tidy-eval-detailed.html
14.1,Quoting functions,2,https://dcl-prog.stanford.edu/tidy-eval-detailed.html#quoting-functions
14.1.1,Quoted arguments,3,https://dcl-prog.stanford.edu/tidy-eval-detailed.html#quoted-arguments
14.1.2,Strings and glue(),3,https://dcl-prog.stanford.edu/tidy-eval-detailed.html#strings-and-glue
14.1.3,Quosures,3,https://dcl-prog.stanford.edu/tidy-eval-detailed.html#quosures
14.2,Wrapping quoting functions,2,https://dcl-prog.stanford.edu/tidy-eval-detailed.html#wrapping-quoting-functions
14.2.1,enquo() and !!,3,https://dcl-prog.stanford.edu/tidy-eval-detailed.html#enquo-and
14.2.2,Passing ...,3,https://dcl-prog.stanford.edu/tidy-eval-detailed.html#passing-...
14.2.3,Assigning names,3,https://dcl-prog.stanford.edu/tidy-eval-detailed.html#assigning-names-1
14.3,Passing vectors with !!!,2,https://dcl-prog.stanford.edu/tidy-eval-detailed.html#passing-vectors-with
